order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,order_size
1,Diana,Tablet,0.0,500.0,2024-01-20,South,0.0,None
2,Eve,Laptop,0.0,0.0,2024-04-29,North,0.0,None
3,Charlie,Laptop,2.0,250.0,2024-01-08,Unknown,500.0,Medium
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0,Medium
5,Eve,Tablet,3.0,0.0,2024-03-07,South,0.0,Medium
7,Charlie,Monitor,2.0,750.0,2024-02-02,West,1500.0,Medium
8,Charlie,Laptop,3.0,0.0,2024-02-17,Unknown,0.0,Medium
9,Charlie,Monitor,0.0,750.0,2024-03-16,West,0.0,None
10,Eve,Monitor,1.0,500.0,2024-02-28,North,500.0,Small
11,Unknown,Monitor,3.0,750.0,2024-04-24,West,2250.0,Medium
12,Charlie,Tablet,2.0,750.0,2024-03-26,East,1500.0,Medium
13,Frank,Tablet,1.0,750.0,2024-04-28,West,750.0,Small
14,Eve,Tablet,1.0,0.0,2024-01-22,South,0.0,Small
15,Bob,Laptop,1.0,0.0,2024-04-19,South,0.0,Small
16,Diana,Monitor,3.0,750.0,,East,2250.0,Medium
17,Frank,Tablet,2.0,0.0,2024-02-07,North,0.0,Medium
18,Frank,Tablet,1.0,250.0,2024-04-11,South,250.0,Small
19,Bob,Laptop,0.0,250.0,2024-04-18,Unknown,0.0,None
20,Diana,Tablet,1.0,0.0,2024-02-20,South,0.0,Small
21,Eve,Laptop,1.0,0.0,2024-02-23,South,0.0,Small
22,Alice,Phone,3.0,750.0,2024-01-08,North,2250.0,Medium
23,Diana,Tablet,3.0,500.0,2024-01-27,West,1500.0,Medium
24,Bob,Phone,2.0,0.0,2024-01-27,South,0.0,Medium
25,Frank,Laptop,0.0,250.0,2024-04-07,East,0.0,None
26,Eve,Monitor,3.0,750.0,2024-01-21,West,2250.0,Medium
27,Diana,Tablet,1.0,0.0,2024-01-30,Unknown,0.0,Small
28,Alice,Laptop,2.0,250.0,2024-04-06,North,500.0,Medium
29,Alice,Monitor,1.0,250.0,2024-01-28,Unknown,250.0,Small
30,Charlie,Monitor,1.0,500.0,2024-04-20,West,500.0,Small
31,Charlie,Phone,3.0,750.0,2024-03-04,West,2250.0,Medium
32,Bob,Laptop,2.0,750.0,2024-04-06,West,1500.0,Medium
33,Diana,Monitor,0.0,500.0,2024-03-09,Unknown,0.0,None
34,Diana,Tablet,0.0,500.0,2024-03-01,West,0.0,None
35,Frank,Tablet,3.0,750.0,2024-02-17,Unknown,2250.0,Medium
36,Frank,Phone,3.0,750.0,2024-01-19,West,2250.0,Medium
37,Frank,Monitor,2.0,0.0,2024-01-04,East,0.0,Medium
38,Charlie,Laptop,0.0,0.0,2024-02-04,West,0.0,None
39,Diana,Tablet,0.0,500.0,2024-03-04,Unknown,0.0,None
40,Diana,Monitor,0.0,0.0,2024-02-18,South,0.0,None
41,Alice,Monitor,1.0,250.0,2024-01-17,West,250.0,Small
42,Charlie,Phone,0.0,0.0,2024-02-13,South,0.0,None
43,Eve,Tablet,1.0,0.0,2024-04-01,East,0.0,Small
44,Charlie,Tablet,2.0,250.0,2024-01-30,North,500.0,Medium
45,Eve,Laptop,1.0,500.0,2024-04-02,East,500.0,Small
46,Alice,Tablet,2.0,250.0,2024-02-15,West,500.0,Medium
47,Bob,Laptop,0.0,0.0,2024-04-26,South,0.0,None
48,Diana,Tablet,0.0,500.0,2024-01-06,South,0.0,None
49,Alice,Phone,2.0,0.0,2024-04-08,Unknown,0.0,Medium
50,Diana,Tablet,3.0,250.0,2024-04-14,South,750.0,Medium
51,Frank,Laptop,2.0,250.0,2024-02-06,Unknown,500.0,Medium
52,Bob,Laptop,3.0,0.0,2024-01-24,North,0.0,Medium
53,Bob,Phone,1.0,750.0,2024-04-02,West,750.0,Small
54,Alice,Tablet,1.0,750.0,2024-04-22,Unknown,750.0,Small
55,Bob,Tablet,1.0,250.0,2024-02-15,North,250.0,Small
56,Eve,Phone,0.0,250.0,2024-02-22,South,0.0,None
57,Bob,Tablet,1.0,750.0,2024-04-04,South,750.0,Small
58,Diana,Tablet,3.0,750.0,2024-04-08,North,2250.0,Medium
59,Diana,Laptop,1.0,0.0,2024-02-29,South,0.0,Small
60,Diana,Tablet,2.0,0.0,2024-04-06,North,0.0,Medium
61,Diana,Tablet,2.0,750.0,2024-04-25,Unknown,1500.0,Medium
62,Eve,Phone,0.0,0.0,2024-03-03,Unknown,0.0,None
63,Charlie,Phone,2.0,0.0,2024-03-25,North,0.0,Medium
64,Frank,Monitor,3.0,500.0,2024-02-01,Unknown,1500.0,Medium
65,Alice,Laptop,1.0,0.0,2024-03-27,Unknown,0.0,Small
66,Diana,Tablet,0.0,250.0,2024-02-02,Unknown,0.0,None
67,Bob,Tablet,1.0,0.0,2024-03-07,East,0.0,Small
68,Diana,Monitor,1.0,0.0,2024-01-18,West,0.0,Small
69,Bob,Tablet,3.0,750.0,2024-01-25,South,2250.0,Medium
70,Frank,Laptop,2.0,250.0,2024-04-15,East,500.0,Medium
71,Frank,Monitor,2.0,0.0,2024-04-04,Unknown,0.0,Medium
72,Frank,Laptop,1.0,0.0,2024-02-23,North,0.0,Small
73,Bob,Monitor,0.0,500.0,2024-02-27,Unknown,0.0,None
